最好看的国漫了吧。没有之一
喜欢猴子，为猴子来不知多少集
彦没死？太好了！[愉快]惊喜于彦没死的点个赞吧
忍不住想说，怎么超神学院这几个男主都被写得跟SB一样！？
我永远也不会用剑魔了
""
我的赞是粉红色的，信不信
老. 好啦，一直以来说说啦一大缸。
还是以前的这个好看，虽然画质不好，但确实好玩，hhh
先《超神学院》三季，再《黑甲》，再《雄兵连》三部。。
实话说，我不知道怎么看
这个动画片很搞笑的呀
彦女神最美，大爱吾彦。
明确顺序是什么啊，哪位大佬发下？
建议出个超神学院之悟空，有同意的吗
星河以北，彦神最美！多给彦女神加戏，希望葛小伦和彦在一起。
爱炙心敢爱敢做敢当，快点更新感谢了或者卖我
我tm差你那点钱吗？不更新
""
以前其实错过这部动漫好多好多次，但现在觉得真的好好看啊！
这部动漫宣传力度不够，否则会很火
天使彦应该没死 雄兵连加油！
挺逗的，比如：“给你一身神力？可以考虑考虑。跟美女一个寝室？好！我干了！”
猴子后面怎么不在了？
为啥这么模糊啊？我是看了雄兵连然后来看的。
完全的英雄联盟，有点蒙
看过拉拉都知道阿狸和悟空的故事
第一集好雷啊！！！...
雄兵连的人物好看很多！
因为老有人说彦比焰灵姬漂亮，所以来看一下
画面太美了哈！没看出来咋回事！我要求太高了
我是无语了，这剧情有点接不上来呀。
顶 国产动漫 好看
你们他妈不更新少忽悠人
一年更新一次吗？，求快点更新憋着尿呢，很急
要是有第四季就好了。
去看重制版吧，比这好看一点。
吊打噬獆是第几季第几集
这明明就是英雄联盟对不对？
听说有猴哥，我也来凑凑热闹
。。。。看完雄兵连更新后看这个的
天使彦好会撩人啊，哈哈
太慢了！时间长了都没人了
蔷薇必须跟凉冰一块儿
怎么办？？？我搞不清顺序啊！从哪开始看？
咋没亚索呢？。。。。
银河以北 吾彦最美
""
顺序是什么啊，谁能告诉我啊
应该大力宣传，肯定火
猴子在哪集？ 求大神告诉我
我比较喜欢 彦 和炙心 还有卡特琳娜啦
这个超神学院我都看了4遍了，还是那么好看呀！
我只想说，天使彦是怎么活下来的。
还不更新 求更新 求更新
问一问，还有什么好看的动漫吗？
凉冰也就是莫甘娜她和卡尔一定要在一起
问一下，天使廖是什们时候才出现
真的是太好看了我点赞
看乱套啦。那是那呀？
怎么没有声音了？？？
比较成功的国漫，支持它！！！
这真的是第一季吗，我想按顺序来看，可是看时间和第二季对不上呀
敢在我闯哥面前装B的人还没出生呢
我的斗战圣佛去哪了？
那你就穿裤子衣服的是谁？涛怎么这么胆小。
""
哎，乾坤篇马上又完了，还不知道还出新的不
我看到了22集这是什么情况
看十遍都不耐烦。。。。
希望更新的快一点，因为真的很好看，嘿嘿
凯莎就挂了啊，这么简单
猴哥和，阿狸认识的是多少集
我今年33岁，这是我最爱的一部动漫，无论人物音乐剧情，都非常震撼
祖安有没有小哥哥，能带带我吗
