这是我看过的最好看的国产动漫了，同意的举手
喜欢喜欢，我之前看预告就很喜欢，我果然看的没错，而且这还可以教会女生们化妆护肤呢，值得一看，爱美的女孩纸可以看看哦，强势推荐♡
弱弱问一句:男孩子可以看这种动漫吗？
作者怕是不了解美妆博主吧，工具再差都能整出一张漂亮的脸蛋出来...
这玩意有男的看吗？？我居然还觉得片头尾曲还比较中听呢。
最喜欢看这个动画片了，希望一天能更新五集。
"不很觉得画风好看，脱去剧情台词配音有点像动画片。。特别是，上了妆那个腮红什么的。
主题曲越听越好听~站女主和Jack!"
"其实，个人觉得JACK和司妍在一起比较好
个人认为而已"
你们谁知道有一个冻漫的开头是一半人半蛇的女的抱着一个男的，后面几集，出现半人半鸟的还有绿色粘液的人，谁知道这个动漫的名字，请回复我。谢谢！
好好看呀，好帅啊😍😍😍😍😍😍😏
动画描线直接用黑色不是很好看，人物动作也不是很流畅，腮红也不能用黑线啊。动画方面有待改进，但剧情挺有意思的，预祝大麦
今天一口气把几集看完了我个人想法觉得这个画面背景风景都做的挺好就是，，额，女性人设不是特别好看画的太儿童向了，然后看到jack改剧情那里感觉还不错哦😏😏期待后边的故事，然后我觉得这个剧情挺不错的，人物模样画的还不够成熟，期待后边的故事，所以我还是决定去追小说看看😂😂
大家，我以经做好被黑的准备了，请大家不要在这发魔道了，不要给魔道招黑！！我们要做素质中良的魔道中人！！谢谢！！！！
我发现所有动画片都不洗脚😂😂😂
太棒了！连系统漫也有了 那么离快穿漫也不远了！表白快穿！
怎么更新这么慢啊，好不容易等了一个星期，更新了一集，一会就看完了，
导演啊！你就快点发布新的集数吧？俺等滴花都谢了啊！导演哥哥(•̀⌄•́)，我建议一星期能更新个三，四集，导演哥哥，你知道啥是相思病吗，你又理解患上👆这病滴痛苦吗？
题材很新颖的国漫，支持！超级对女孩子的口味，希望可以有同款的游戏！！！想要同款游戏的小仙女顶我上去，蟹蟹啦
为什么七皇子和九皇子都喜欢司研，你们感觉司研跟七皇子配还是跟九皇子配呢？
这动漫。。。有点低龄，除了背景精美一些，其它真的没看出你们说的精细，作画也普通，对于如今的国漫水平堪堪中游而已。
茫茫人海中，能够相遇、相识、相知，是前生多少次的回眸换来的缘分呢？既然相遇了，就好好珍惜吧。别等人走了，才幡然悔悟；别等心伤了，才急于弥补。
女主太直，哦不是头发，我是发型师，女主需要的是蛋卷头，也就是你们是的女主播头，也称为睡不醒，还有长卷发，加层次，随风飘摇，显的女性成熟，女主老是长直发，呆板，死硬，毫无生气，还是断层，唉，设计师咋想的，看看日漫去，头发都有各自的特点，反观中漫，女主从来都是长直发。
这个小说是教会了我怎么识别化妆品的好小说😂️，剧情也不错，当时也超级喜欢啊
其实要不是不符合剧情，我更希望NPC是男主，让NPC跟司妍在一起
确实头晕的厉害，关系太乱
貌似不适合男的看啊……
我上课看这本小说看完啦，然后同学就和我说出动漫了，赶快跑来看哈哈哈
剧透一下：小说里有说出塞的建议，建议是增加九皇子感情，你们都懂的吧，后面我没看，估计是要和“吸血”夫人做斗争了，预告里也有看见七皇子被抓住，看来后面的剧情估计是要与夫人斗智斗勇了，不过最后结局按常理说应该是happy end。
我国动漫正在发展中，，，， ☝
要多点这样的动漫肯定很火，毕竟很多人喜欢古风
这个动漫拍成电视剧应该会红，
吐糟一下：女主没衣服了吗？总是这一套，在一群宫女装的宫女里好违和
小说上面是这样写的:七皇子出征前，点名要见司研，又在战场上横扫千军万马只是为了送司研膏泽脂香，而又为了这些膏泽脂香被抓，只为司研
真的hin好看~不过我觉得男主七皇子的性格并不是那种高冷冰山的，有点自恋有点傲娇还有点腹黑，挺喜欢的~
感觉这个动漫就是教女孩子化妆，赞同的举手。
画风还不错，怎么老感觉有点幼稚呢！是我老了吗？本人14
我有这个的主题曲和片尾曲，谁要
现在国漫的画质终于好看了，可以和日本漫画攀比了。支持国漫
这女主的死亡情况让我们懂得了😂😂走在马路上就不要玩手机了😂
原来冷漠如冰的七皇子也会如啊。
我妈妈的公司做的，我妈妈让我看一看
女主第二集到现在好像没有换过衣服诶
我觉得Jack好帅我站Jack和司妍这对cp
有没有和我一样喜欢jake的？
好希望NPC可以和女主在一起，他那么好，还帮女主改剧情，可是七皇子好像是男主吧？≧﹏≦
有哪位好心人能告诉我片头和片尾曲都叫什么啊
挺好看的，内容新颖，画风也不错，就是感觉剧中的妆，怎么画都是一样的。。。有点别扭，，
又是一部成功的烂动漫。
妈呀呀 我们的jack才是真正的杰克苏吧😍😍
超喜欢这个动漫，尤其是主题曲
没出来之前就很期待了 果然没有失望。女主很好看。景色也很美。男生角色也不错
我也是道友，请不要ky好吗，如果真爱魔道就别招黑。
谁能说说男主是谁啊 知道的说一下
我从来都不会埋怨这么久才一集，因为我星期日有《捡到只小狐狸》这部漫画看。星期二有《盛世妆娘》看。星期四有《精灵梦叶罗丽》看。星期五还有《一代灵后》看。星期六有《魔道祖师》所以我一点都不着急😂（其实是很着急的啦😭）
默默说一句，你们没发现女主的鞋跟不是坏了嘛，可是她醒来那个鞋跟好了😂😂
呵呵呵，挺好看的，我非常支持，加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
虽然我没看过原著，但是还挺好看，我打算把原著字体一遍，不过我现在站定NPC和女主！NPC那么有爱！！
"穿越次元之恋有幸遇见定不负流年，
纵使天上人间鹊桥成仙；
穿越次元之恋有幸遇见定不负流年，
哪怕生离死别梦回化蝶。
轮回重蹈之久有生遇见定不会流失，
纵使现实平行波涛成海；
轮回重蹈之久有生遇见定不会流失，
哪怕倾尽全力化回梦朝。
该好好查查，相关的所有东西了！👑👑👑"
Jake超帅的啊，既然女主不喜欢Jake，那干脆把Jake给我们吧，我们喜欢呐( •̀∀•́ )
不舒服。想让司妍和杰克在一起
好看啊，停不下来了啊啊啊就是更新的太慢了
看完第一集提示我们大家没事不要穿特别高的镂空高跟鞋，实心高跟鞋好一点，小心出意外！
开头曲好好听[抓狂][抓狂][抓狂]
一个星期更新一集也太少了吧，一集其实20分不到，太少
有意思的剧情，不过我不喜欢女主古装化妆后的样子，显得好小像小孩，和男主不配啊。
大家可不可以帮个忙？帮我找一下道士哥哥
护妻狂魔———-七殿下
这什么狗血剧情一个小主播被车撞了就穿越了快穿游戏世界了这剧情太狗血
终于等到了，开心o(≧v≦)o
唉，别到时候所有皇子都喜欢上司研了，(有点麻烦)
"希望NPC是男主，最后会跟司妍在一起，你看他都为了女主更改剧情了。
圆圆丽丽小胖 : 为什么每次只更新一集就不好多更新几集啊！赞18 · 踩1 · 回复 ☆雅博菲卡☆ : 小说里女主和男主在一起了，并且回了现代赞8 · 踩 · 回复"
难道五殿下他好龙阳之癖？😂
小说目前140话左右，哭了，根本看不完
编辑如果呢没有人去把你打死，你还是可以再更新的慢一点的
这是女生看的，男生还是默默离开吧。溜了溜了😂😂
应该都是女生看吧？来来来跟我一样是女孩子的举个爪我看一下
歌好听 有小哥哥和小姐姐知道的 告诉我可以吗？
为了疯狂动物城礼包来的报个到😂
如果每次更新集数多一些 也许收视率就不一样了 大多数人不追一个剧的原因就是更新慢 慢着慢着就不看了
这里面的人化妆前后都一样啊，这种妆容也是醉了。不过后面的化妆小知识还真有用。
我是00后的也喜欢这种的是不是有点……有00后的吗？
