这个黄毛是谁，知道的点个赞。
空山觉雨后，百花争艳来。浮沉断往事，蓝河天上游。缝山鬼哭泣，流氓巴掌来。沐橙树下过，烟霞把蓉颜。叶落知深秋，声烦皆路人。韩铁荣耀时，才见君莫归！
第二季叶秋就是千万富豪了，一个秘籍卖了3000万
老叶，欢迎回来，好想你呀！
各种各样支持 ……希望不要等太久，第三季
就我一个觉得全职一点都不好看吗
我看到伞哥了吗？
第一季男主好看 第二季男主丑爆了 我们还是喜欢原来这个男主 人又帅 现在更新老慢了 等了俩个月了 什么时候更新又不提示 唉 烦
龙台头听着都舒坦
好喜欢这一段呢，怎么看都不会腻，我都看了100多遍了。希望永远不会停播
这龙抬头，太帅了，它绝对会成为经典的画面之一！
虽然我知道第二季要明年再出，但是我觉得可惜出番外篇啊，出叶修和苏沐秋的故事， 有没有赞成？
有没有一款游戏能玩上一辈子的，就像 荣耀
叶修最后有没有和沐澄在一起啊？
有谁和我一样一看12点了就来看有没有更新，可是今天是星期四
跪求第四集。呜呜呜，一记龙抬头。看了无数遍了。看哭了
四十级不到怎么能打出大招伏龙翔天，不要这样敷衍好不好。哎……
第三集，叶神会上场吗？
我已经刷了N遍，第二集星期几出？
荣耀，再玩十年也不会腻
就想知道第二季什么时候出
苏沐秋终于出现了。
人物变化好大，还是第一季的人物好看
就是啊？怎么第二季没影了啊？怎么回事啊气人啊这是...
第四集啥时候出啊。
我们好几个学校的人都在等他，大学的小学的初中的都在等，还有一些成年玩游戏的，也都在等，更新吧，全职高手求你们了，快更新吧。
滴，滴滴。等更新，有木有也在等的
等了1年就来一个特别篇。。什么时候更新第二季。。
我想说，这不全职高手的人物画功还是第一部好看。脸型还有色泽都与第一部不一样，还是第一部好看。差别太大了。😔
为什么感觉第一季的人物好看一些，有同感的吗？
好看为什么不更新了啦，啦，
这不就是盗版地下城与勇士嘛！
什么时候更新啊 给个时间啊
什么时候更新。两个星期了还不更新呀
就这三集就完了？诶 后面的剧情都没得看 都不知道叶秋大神之后的荣耀
第二季更新时间是:2019年7月
都一个多月没更了，难道是停更了吗？还是付不起稿费了，或者是……
叶修 苏沐橙 陈果=修橙正果
期待第二季！最后再说一遍，王者荣耀出门左拐，谢谢～
我就想知道，为什么只有三集等了一年就出来三集吗
龙抬头，没让我失望，看的我热血沸腾。
苏沐橙和叶修什么关系？
什么时候在出新的，想看到叶修重新组队开始
这还是有烟的
怎么只有三集呀 吓人
第二几我都看完了，但是坚决不剧透，因为剧透事全家
龙抬头就这样完了。 出三级就断片了 真是无语。还不如不出。
就我一个看不见第三集？
第四集什么时候更新？多久更新一集求答
为什么就三集啊，根本看不够，大大快快制作更新吧
是女生的回复1，男生的回复2。
什么时候第二季啊，等好久了
第三集很好的诠释了什么叫内幕。。。哈哈
啥时候更新下一集 期待的举手
周泽楷真酷，cool ! cool ! cool!!!
那啥，我觉得第一季和特别篇的画质差不多啊，难道我眼睛有问题？？？？！
看完了，看不过瘾啊！下一集什么出啊！
"叶修身份揭秘
叶修叶秋孪生兄弟，叶氏集团长子"
为大神打榜
第二季还是彩色铅笔制作的是吧
你这更新是拖到什么时候
一开始苏沐秋就没有出现过只是在叶修记忆中出现过这说明了什么？
来回看了4-5遍也没腻，一直在等第二季，还有第一季的叶修瓜子脸帅一点，第二季看着感觉叶修长胖了，电视剧演不了叶修的痞子个性的话就不好看了
现在有谁再看吗 举个手啊
好想玩荣耀啊，为毛不把他做成游戏
大哥们，加油制作啊，我们好期待啊
