要举报一下，现在的动漫不够23分钟的不允许播放。同意的推我上去
国漫最大的败笔就是不够专一。更着更着就跑去做游戏了，永远成不了气候
哎，太慢了，太慢了！，同意的点赞！
第二季什么时候出哦？
这是个死片吗？编剧挂掉了吗？
第三季啥时候出？真的不想他成为一个有头无尾的动漫
全集40集也就半小时。逗我玩呢？凑一集都太少吧。玩呢？？扯犊子呢？
我要投诉。更新慢。时间少。
差评 太短，希望长一点
更新快点啊！
就我一个活着吗？？？
一集时间太晚了，同意的点赞
觉得好看的点赞帮我顶上去666
"一天一集，一集24分钟。
同意的都是帅哥美女"
男主很帅，支持他哟，女主
好看，求下一步更新！
我喜欢一个人，但一直不敢告白，怎么办！呼！
明天就出第二季，看有多少人在等更得！不赞的都不是真爱
好久更新啊，我都等了一年了
第二季已经更新25集了！
很么时候更新啊求回答
希望紫云是女主角的给我点赞
好看
"广告半分钟,一集6分钟,一集短稍微可以原谅,广告太长了吧"
一集就不能长一点吗嘛，一直换的好烦啊
第二季都放了15集了
这一部电视实在是太好看了
天下聂离太平了吗
只有我一个人在默默地看。国漫即使我到老，我也要坚持。
第二季什么时候出来，我等到花儿也谢了 一集几分钟，一部40集加起来都不够一部电影的时长
这种垃圾也好意思放出来
第二季已经更新了，不用谢，
好看吗？好看点
都出到60多集了你们还在等啥呢
怎么没了，还不更新呀
我希望肖凝儿更合适做女一号
妖神记的时间好短，一共只有7分钟
一天看完的有吗，一样的来
大短了吧，看不过隐啊
小说都听完了，怎么电视都还没有出来第二部啊。
喜欢妖神记的点赞？？？
一集短的和导演二弟一样短
人人都喜欢男主啊！男主挂开的高大，不愧是主角，主角光环强大
芒果有第二季，早上搜到了
有第三季吗？太好看了我喜欢
一集才六分钟！看的太不过瘾了！
支持，我觉得特别好看
不知道我有生之年还能看完妖神记吗？
我希望2019年出下一季
这个动画片很好看，不知道你们喜不喜欢？
时间太短。不够看。一级需要加70分钟。
我也等了一年了，求求你，快点儿更新，我们永远支持你！大哥大姐。
还有好看的动漫能写到评论上吗？
广告比内容长
我要看第二季，这季都看5遍了
可以出第3部了我挺喜欢的加油
第二季都更新到23集了
好喜欢叶紫芸，美丽善良
虽然很好看 但是才七分钟 能不能出50分钟啊
