大家想看下一集吗？想看下一级的点赞
"有没有第五季。真希望结局是圆满的句号而•
不是问号"
这个结局我不喜欢
我好希望后面15位天命之人都在一起
"梦幻西游 是我看过动漫里少数极为感人的了
希望制作组能把它更完"
我觉得是有第五季，因为女人的直觉
故事结束了~ 只可惜人却不在了 桑心
喜欢剑侠客和骨精灵！！
玩了十几年梦幻西游，现在都老了，唉，怀念以前通宵冲级的感觉
我认为有下一集，蚩尤500年复活一次，那500年之后就又有天命之人，那剑侠客他们就会复活，就有下一集了
龙太子和飞燕女死都死在一起真是天上一对地上一双！
为什么每次骨精灵和剑仙客不能在一起呀？什么时候出新的呀？
十五位天命之人
""
喜欢骨精灵巫蛮儿狐美人和玄彩娥的点个赞
希望出更多季，力挺你们
剑侠客好帅啊，连我都想当了
结局并不是很好，骨精灵走了。
飞燕女好漂亮呀！只是有时候会耍脾气。
导演我要给你寄刀片
可惜呀！
大好了 画的真好 我也换一下
我喜欢巫蛮儿和杀破狼。
